Puertos conocidos: https://www.ionos.es/digitalguide/servidores/know-how/puertos-tcp-puertos-udp/

Puerto	TCP	UDP	Nombre	Descripción
533	 	✔	netwall	Broadcast de emergencia
540	✔	 	uucp	Unix-to-Unix Copy Protocol
543	✔	 	klogin	Kerberos v5 Remote Login
544	✔	 	kshell	Kerberos v5 Remote Shell
546	✔	✔	dhcpv6-client	DHCP v6 Client
547	✔	✔	dhcpv6-server	DHCP v6 Server
548	✔	 	afpovertcp	Apple Filing Protocol a través de TCP
554	✔	✔	rtsp	Control de streams
556	✔	 	remotefs	Remote Filesystem
563	✔	✔	nntps	NNTP a través de SSL/TLS
587	✔	 	submission	Message Submission Agent
631	✔	✔	ipp	Internet Printing Protocol
631	✔	✔	 	Common Unix Printing System (no oficial)
636	✔	✔	ldaps	LDAP a través de SSL/TLS
674	✔	 	acap	Application Configuration Access Protocol
694	✔	✔	ha-cluster	Servicio Heartbeat
749	✔	✔	kerberos-adm	Kerberos v5 Administration
750	 	✔	kerberos-iv	Servicios Kerberos v4
873	✔	 	rsync	Servicios de transmisión de datos rsync
992	✔	✔	telnets	Telnet a través de SSL/TLS
993	✔	 	imaps	IMAP a través de SSL/TLS
995	✔	 	pop3s	POP3 a través de SSL/TLS
